기업,구분,항목,Dec-22,Dec-23,Dec-24,2025/12(E),2026/12(E),2027/12(E),23,24,25,26,27
라피치,연결,당기순이익(억원),6.73,3.48,-15.28,,,,-48%,-539%,-100%,#DIV/0!,#DIV/0!
라피치,연결,  전년동기대비(%),384.17,-48.29,적전,,,,-113%,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
라피치,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
램테크놀러지,연결,매출액(억원),670.23,429.76,445.01,,,,-36%,4%,-100%,#DIV/0!,#DIV/0!
램테크놀러지,연결,  전년동기대비(%),37.96,-35.88,3.55,,,,-195%,-110%,-100%,#DIV/0!,#DIV/0!
램테크놀러지,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
램테크놀러지,연결,영업이익(억원),69.04,-29.52,-16.53,,,,-143%,-44%,-100%,#DIV/0!,#DIV/0!
램테크놀러지,연결,  전년동기대비(%),54.35,적전,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
램테크놀러지,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
램테크놀러지,연결,당기순이익(억원),60.59,-28.69,-25.57,,,,-147%,-11%,-100%,#DIV/0!,#DIV/0!
램테크놀러지,연결,  전년동기대비(%),91.68,적전,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
램테크놀러지,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
랩지노믹스,연결,매출액(억원),"1,447.73",710.76,858.98,,,,-51%,21%,-100%,#DIV/0!,#DIV/0!
랩지노믹스,연결,  전년동기대비(%),-28.47,-50.91,20.85,,,,79%,-141%,-100%,#DIV/0!,#DIV/0!
랩지노믹스,연결,  컨센서스대비(%),,-7.09,,-,-,-,#DIV/0!,-100%,#VALUE!,#VALUE!,#VALUE!
랩지노믹스,연결,영업이익(억원),662.06,-69.23,-184.91,,,,-110%,167%,-100%,#DIV/0!,#DIV/0!
랩지노믹스,연결,  전년동기대비(%),-36.66,적전,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
랩지노믹스,연결,  컨센서스대비(%),,적전,,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
랩지노믹스,연결,당기순이익(억원),479.26,-52.46,-239.04,,,,-111%,356%,-100%,#DIV/0!,#DIV/0!
랩지노믹스,연결,  전년동기대비(%),-42.85,적전,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
랩지노믹스,연결,  컨센서스대비(%),,적전,,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
러셀,연결,매출액(억원),419.26,447.11,374.81,,,,7%,-16%,-100%,#DIV/0!,#DIV/0!
러셀,연결,  전년동기대비(%),-27.41,6.64,-16.17,,,,-124%,-344%,-100%,#DIV/0!,#DIV/0!
러셀,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
러셀,연결,영업이익(억원),45.01,18.72,20.44,,,,-58%,9%,-100%,#DIV/0!,#DIV/0!
러셀,연결,  전년동기대비(%),-20.31,-58.41,9.19,,,,188%,-116%,-100%,#DIV/0!,#DIV/0!
러셀,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
러셀,연결,당기순이익(억원),38.27,15.07,41.97,,,,-61%,179%,-100%,#DIV/0!,#DIV/0!
러셀,연결,  전년동기대비(%),-37.43,-60.62,178.5,,,,62%,-394%,-100%,#DIV/0!,#DIV/0!
러셀,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
럭스피아,연결,매출액(억원),148.25,101.51,178.58,,,,-32%,76%,-100%,#DIV/0!,#DIV/0!
럭스피아,연결,  전년동기대비(%),-11.13,-31.53,75.92,,,,183%,-341%,-100%,#DIV/0!,#DIV/0!
럭스피아,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
럭스피아,연결,영업이익(억원),10.57,-13.78,-10.74,,,,-230%,-22%,-100%,#DIV/0!,#DIV/0!
럭스피아,연결,  전년동기대비(%),1.93,적전,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
럭스피아,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
럭스피아,연결,당기순이익(억원),3.81,-12.57,-8.95,,,,-430%,-29%,-100%,#DIV/0!,#DIV/0!
럭스피아,연결,  전년동기대비(%),-59.16,적전,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
럭스피아,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
레드캡투어,연결,매출액(억원),"2,620.65","3,381.83","3,588.77",,,,29%,6%,-100%,#DIV/0!,#DIV/0!
레드캡투어,연결,  전년동기대비(%),14.47,29.05,6.12,,,,101%,-79%,-100%,#DIV/0!,#DIV/0!
레드캡투어,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
레드캡투어,연결,영업이익(억원),363.22,387.71,435.66,,,,7%,12%,-100%,#DIV/0!,#DIV/0!
레드캡투어,연결,  전년동기대비(%),77.45,6.74,12.37,,,,-91%,84%,-100%,#DIV/0!,#DIV/0!
레드캡투어,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
레드캡투어,연결,당기순이익(억원),212.35,166.36,202.5,,,,-22%,22%,-100%,#DIV/0!,#DIV/0!
레드캡투어,연결,  전년동기대비(%),75.63,-21.66,21.72,,,,-129%,-200%,-100%,#DIV/0!,#DIV/0!
레드캡투어,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
레몬,연결,매출액(억원),397.69,104.77,72.88,,,,-74%,-30%,-100%,#DIV/0!,#DIV/0!
레몬,연결,  전년동기대비(%),19.01,-73.66,-30.44,,,,-487%,-59%,-100%,#DIV/0!,#DIV/0!
레몬,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
레몬,연결,영업이익(억원),-66.47,-116.89,-62.83,,,,76%,-46%,-100%,#DIV/0!,#DIV/0!
레몬,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
레몬,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
레몬,연결,당기순이익(억원),-163.58,-91.4,-46.84,,,,-44%,-49%,-100%,#DIV/0!,#DIV/0!
레몬,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
레몬,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
레뷰코퍼레이션,연결,매출액(억원),402.69,397.47,489.03,601,698,698,-1%,23%,23%,16%,0%
레뷰코퍼레이션,연결,  전년동기대비(%),75.2,-1.3,23.04,22.9,16.14,0,-102%,-1872%,-1%,-30%,-100%
레뷰코퍼레이션,연결,  컨센서스대비(%),,-21.14,,-,-,-,#DIV/0!,-100%,#VALUE!,#VALUE!,#VALUE!
레뷰코퍼레이션,연결,영업이익(억원),45.46,42.16,74.75,105,147,147,-7%,77%,40%,40%,0%
레뷰코퍼레이션,연결,  전년동기대비(%),102.13,-7.26,77.3,40.47,40,0,-107%,-1165%,-48%,-1%,-100%
레뷰코퍼레이션,연결,  컨센서스대비(%),,24,,-,-,-,#DIV/0!,-100%,#VALUE!,#VALUE!,#VALUE!
레뷰코퍼레이션,연결,당기순이익(억원),61.49,33.88,66.47,106,147,147,-45%,96%,59%,39%,0%
레뷰코퍼레이션,연결,  전년동기대비(%),"1,137.22",-44.9,96.19,59.47,38.68,0,-104%,-314%,-38%,-35%,-100%
레뷰코퍼레이션,연결,  컨센서스대비(%),,47.3,,-,-,-,#DIV/0!,-100%,#VALUE!,#VALUE!,#VALUE!
레이,연결,매출액(억원),"1,289.98","1,458.82",798.43,"1,177","1,421","1,670",13%,-45%,47%,21%,18%
레이,연결,  전년동기대비(%),42.8,13.09,-45.27,47.44,20.71,17.52,-69%,-446%,-205%,-56%,-15%
레이,연결,  컨센서스대비(%),-0.27,-2.09,-13.31,-,-,-,674%,537%,#VALUE!,#VALUE!,#VALUE!
레이,연결,영업이익(억원),162.06,61.18,-442.54,72,103,143,-62%,-823%,-116%,43%,39%
레이,연결,  전년동기대비(%),378.48,-62.25,적전,흑전,42.7,39.02,-116%,#VALUE!,#VALUE!,#VALUE!,-9%
레이,연결,  컨센서스대비(%),2.9,-54.17,적지,-,-,-,-1968%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
레이,연결,당기순이익(억원),79.57,-30.48,-633.27,56,77,112,-138%,1978%,-109%,38%,45%
레이,연결,  전년동기대비(%),"13,859.65",적전,적지,흑전,37.84,45.75,#VALUE!,#VALUE!,#VALUE!,#VALUE!,21%
레이,연결,  컨센서스대비(%),-14.44,적전,적지,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
레이언스,연결,매출액(억원),"1,471.61","1,429.86","1,255.64","1,237","1,313","1,381",-3%,-12%,-1%,6%,5%
레이언스,연결,  전년동기대비(%),9.36,-2.84,-12.18,-1.48,6.1,5.18,-130%,329%,-88%,-512%,-15%
레이언스,연결,  컨센서스대비(%),-0.09,,-3.19,-,-,-,-100%,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
레이언스,연결,영업이익(억원),253.57,196.96,66.31,66,99,111,-22%,-66%,0%,50%,12%
레이언스,연결,  전년동기대비(%),5.35,-22.33,-66.33,-0.47,49.24,12.69,-517%,197%,-99%,-10577%,-74%
레이언스,연결,  컨센서스대비(%),-4.67,,-29.46,-,-,-,-100%,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
레이언스,연결,당기순이익(억원),218.49,194.62,77.49,84,102,109,-11%,-60%,8%,21%,7%
레이언스,연결,  전년동기대비(%),55.03,-10.92,-60.18,7.76,22.16,6.37,-120%,451%,-113%,186%,-71%
레이언스,연결,  컨센서스대비(%),7.1,,-18.43,-,-,-,-100%,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
레이저쎌,연결,매출액(억원),60.33,60.27,40.16,,,,0%,-33%,-100%,#DIV/0!,#DIV/0!
레이저쎌,연결,  전년동기대비(%),-37.69,-0.1,-33.37,,,,-100%,33270%,-100%,#DIV/0!,#DIV/0!
레이저쎌,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
레이저쎌,연결,영업이익(억원),-50.33,-57.8,-92.09,,,,15%,59%,-100%,#DIV/0!,#DIV/0!
레이저쎌,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
레이저쎌,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
레이저쎌,연결,당기순이익(억원),-41.31,-1.82,-84.97,,,,-96%,4569%,-100%,#DIV/0!,#DIV/0!
레이저쎌,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
레이저쎌,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
레이저옵텍,연결,매출액(억원),300.49,343.52,330.38,,,,14%,-4%,-100%,#DIV/0!,#DIV/0!
레이저옵텍,연결,  전년동기대비(%),61.1,14.32,-3.83,,,,-77%,-127%,-100%,#DIV/0!,#DIV/0!
레이저옵텍,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
레이저옵텍,연결,영업이익(억원),25.1,44.81,-1.96,,,,79%,-104%,-100%,#DIV/0!,#DIV/0!
레이저옵텍,연결,  전년동기대비(%),286.75,78.53,적전,,,,-73%,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
레이저옵텍,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
레이저옵텍,연결,당기순이익(억원),28.16,0.17,-7.83,,,,-99%,-4706%,-100%,#DIV/0!,#DIV/0!
레이저옵텍,연결,  전년동기대비(%),흑전,-99.4,적전,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
레이저옵텍,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
레이크머티리얼즈,연결,매출액(억원),"1,315.07","1,177.90","1,387.26","1,680",,,-10%,18%,21%,-100%,#DIV/0!
레이크머티리얼즈,연결,  전년동기대비(%),60.66,-10.43,17.77,21.1,,,-117%,-270%,19%,-100%,#DIV/0!
레이크머티리얼즈,연결,  컨센서스대비(%),2.06,1.02,,-,-,-,-50%,-100%,#VALUE!,#VALUE!,#VALUE!
레이크머티리얼즈,연결,영업이익(억원),353.91,295.26,221.66,315,,,-17%,-25%,42%,-100%,#DIV/0!
레이크머티리얼즈,연결,  전년동기대비(%),71.08,-16.57,-24.93,42.11,,,-123%,50%,-269%,-100%,#DIV/0!
레이크머티리얼즈,연결,  컨센서스대비(%),5.8,7.37,,-,-,-,27%,-100%,#VALUE!,#VALUE!,#VALUE!
레이크머티리얼즈,연결,당기순이익(억원),271.6,243.69,210.21,,,,-10%,-14%,-100%,#DIV/0!,#DIV/0!
레이크머티리얼즈,연결,  전년동기대비(%),50.22,-10.28,-13.74,,,,-120%,34%,-100%,#DIV/0!,#DIV/0!
레이크머티리얼즈,연결,  컨센서스대비(%),4.26,10.77,,-,-,-,153%,-100%,#VALUE!,#VALUE!,#VALUE!
레인보우로보틱스,연결,매출액(억원),136.15,152.58,193.47,270,365,474,12%,27%,40%,35%,30%
레인보우로보틱스,연결,  전년동기대비(%),51.78,12.07,26.8,39.56,35.19,29.86,-77%,122%,48%,-11%,-15%
레인보우로보틱스,연결,  컨센서스대비(%),-2.75,,20.92,-,-,-,-100%,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
레인보우로보틱스,연결,영업이익(억원),13.01,-445.9,-29.79,27,39,53,-3527%,-93%,-191%,44%,36%
레인보우로보틱스,연결,  전년동기대비(%),흑전,적전,적지,흑전,44.44,35.9,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-19%
레인보우로보틱스,연결,  컨센서스대비(%),-34.95,,적지,-,-,-,-100%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
레인보우로보틱스,연결,당기순이익(억원),57.74,-8.43,21.35,54,58,65,-115%,-353%,153%,7%,12%
레인보우로보틱스,연결,  전년동기대비(%),흑전,적전,흑전,152.93,7.41,12.07,#VALUE!,#VALUE!,#VALUE!,-95%,63%
레인보우로보틱스,연결,  컨센서스대비(%),,,6.75,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로보로보,연결,매출액(억원),118.63,142.61,134.94,,,,20%,-5%,-100%,#DIV/0!,#DIV/0!
로보로보,연결,  전년동기대비(%),55.68,20.21,-5.38,,,,-64%,-127%,-100%,#DIV/0!,#DIV/0!
로보로보,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로보로보,연결,영업이익(억원),-1.82,2.21,-15.36,,,,-221%,-795%,-100%,#DIV/0!,#DIV/0!
로보로보,연결,  전년동기대비(%),적지,흑전,적전,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
로보로보,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로보로보,연결,당기순이익(억원),-3.5,14.21,-1.07,,,,-506%,-108%,-100%,#DIV/0!,#DIV/0!
로보로보,연결,  전년동기대비(%),적지,흑전,적전,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
로보로보,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로보스타,연결,매출액(억원),"1,432.40","1,026.79",891.4,,,,-28%,-13%,-100%,#DIV/0!,#DIV/0!
로보스타,연결,  전년동기대비(%),0.54,-28.32,-13.19,,,,-5344%,-53%,-100%,#DIV/0!,#DIV/0!
로보스타,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로보스타,연결,영업이익(억원),17.94,11.36,1.49,,,,-37%,-87%,-100%,#DIV/0!,#DIV/0!
로보스타,연결,  전년동기대비(%),700.89,-36.68,-86.88,,,,-105%,137%,-100%,#DIV/0!,#DIV/0!
로보스타,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로보스타,연결,당기순이익(억원),32.82,6.94,22.17,,,,-79%,219%,-100%,#DIV/0!,#DIV/0!
로보스타,연결,  전년동기대비(%),100.86,-78.85,219.45,,,,-178%,-378%,-100%,#DIV/0!,#DIV/0!
로보스타,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로보쓰리에이아이,연결,매출액(억원),13.67,8.21,136.5,,,,-40%,1563%,-100%,#DIV/0!,#DIV/0!
로보쓰리에이아이,연결,  전년동기대비(%),"1,402.20",-39.94,"1,562.61",,,,-103%,-4012%,-100%,#DIV/0!,#DIV/0!
로보쓰리에이아이,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로보쓰리에이아이,연결,영업이익(억원),-25.78,-19.9,-9.51,,,,-23%,-52%,-100%,#DIV/0!,#DIV/0!
로보쓰리에이아이,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
로보쓰리에이아이,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로보쓰리에이아이,연결,당기순이익(억원),-42.47,-32.21,-164.08,,,,-24%,409%,-100%,#DIV/0!,#DIV/0!
로보쓰리에이아이,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
로보쓰리에이아이,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로보티즈,연결,매출액(억원),258.56,291.28,300.38,442,557,896,13%,3%,47%,26%,61%
로보티즈,연결,  전년동기대비(%),15.65,12.65,3.12,47.11,26.14,60.67,-19%,-75%,1410%,-45%,132%
로보티즈,연결,  컨센서스대비(%),,2.81,-6.42,-,-,-,#DIV/0!,-328%,#VALUE!,#VALUE!,#VALUE!
로보티즈,연결,영업이익(억원),-21.61,-52.99,-29.74,25,77,149,145%,-44%,-184%,208%,94%
로보티즈,연결,  전년동기대비(%),적지,적지,적지,흑전,212.4,93.44,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-56%
로보티즈,연결,  컨센서스대비(%),,적지,적지,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
로보티즈,연결,당기순이익(억원),-2.24,-13,-30.39,14,58,128,480%,134%,-146%,314%,121%
로보티즈,연결,  전년동기대비(%),적전,적지,적지,흑전,308.1,120.31,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-61%
로보티즈,연결,  컨센서스대비(%),,적전,적지,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
로스웰,연결,매출액(억원),850.91,"3,629.09","5,095.86",,,,326%,40%,-100%,#DIV/0!,#DIV/0!
로스웰,연결,  전년동기대비(%),188.77,326.5,40.42,,,,73%,-88%,-100%,#DIV/0!,#DIV/0!
로스웰,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로스웰,연결,영업이익(억원),-66.07,145.44,195.39,,,,-320%,34%,-100%,#DIV/0!,#DIV/0!
로스웰,연결,  전년동기대비(%),적지,흑전,34.34,,,,#VALUE!,#VALUE!,-100%,#DIV/0!,#DIV/0!
로스웰,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로스웰,연결,당기순이익(억원),-161.52,149.86,173.65,,,,-193%,16%,-100%,#DIV/0!,#DIV/0!
로스웰,연결,  전년동기대비(%),적지,흑전,15.87,,,,#VALUE!,#VALUE!,-100%,#DIV/0!,#DIV/0!
로스웰,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로지스몬,연결,매출액(억원),88.06,101.71,101.64,,,,16%,0%,-100%,#DIV/0!,#DIV/0!
로지스몬,연결,  전년동기대비(%),"4,609.09",15.5,-0.07,,,,-100%,-100%,-100%,#DIV/0!,#DIV/0!
로지스몬,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로지스몬,연결,영업이익(억원),-11.4,-4.9,-3.66,,,,-57%,-25%,-100%,#DIV/0!,#DIV/0!
로지스몬,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
로지스몬,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로지스몬,연결,당기순이익(억원),-8.17,-14.92,-2.81,,,,83%,-81%,-100%,#DIV/0!,#DIV/0!
로지스몬,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
로지스몬,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로지시스,연결,매출액(억원),328.21,364.54,428.57,,,,11%,18%,-100%,#DIV/0!,#DIV/0!
로지시스,연결,  전년동기대비(%),-4.02,11.07,17.56,,,,-375%,59%,-100%,#DIV/0!,#DIV/0!
로지시스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로지시스,연결,영업이익(억원),1.37,5.45,23.91,,,,298%,339%,-100%,#DIV/0!,#DIV/0!
로지시스,연결,  전년동기대비(%),-86.99,297.81,338.72,,,,-442%,14%,-100%,#DIV/0!,#DIV/0!
로지시스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로지시스,연결,당기순이익(억원),2.04,5.16,24.13,,,,153%,368%,-100%,#DIV/0!,#DIV/0!
로지시스,연결,  전년동기대비(%),-90.14,152.94,367.64,,,,-270%,140%,-100%,#DIV/0!,#DIV/0!
로지시스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로체시스템즈,연결,매출액(억원),"1,445.76","1,052.69","1,600.77",,,,-27%,52%,-100%,#DIV/0!,#DIV/0!
로체시스템즈,연결,  전년동기대비(%),31.19,-27.19,52.06,,,,-187%,-291%,-100%,#DIV/0!,#DIV/0!
로체시스템즈,연결,  컨센서스대비(%),-4,,,-,-,-,-100%,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로체시스템즈,연결,영업이익(억원),264.36,119.26,197.77,,,,-55%,66%,-100%,#DIV/0!,#DIV/0!
로체시스템즈,연결,  전년동기대비(%),98.5,-54.89,65.83,,,,-156%,-220%,-100%,#DIV/0!,#DIV/0!
로체시스템즈,연결,  컨센서스대비(%),-13.89,,,-,-,-,-100%,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로체시스템즈,연결,당기순이익(억원),202.51,88.66,121.13,,,,-56%,37%,-100%,#DIV/0!,#DIV/0!
로체시스템즈,연결,  전년동기대비(%),114.14,-56.22,36.62,,,,-149%,-165%,-100%,#DIV/0!,#DIV/0!
로체시스템즈,연결,  컨센서스대비(%),3.85,,,-,-,-,-100%,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로킷헬스케어,연결,매출액(억원),91.51,124.18,131.11,,,,36%,6%,-100%,#DIV/0!,#DIV/0!
로킷헬스케어,연결,  전년동기대비(%),35.75,35.7,5.58,,,,0%,-84%,-100%,#DIV/0!,#DIV/0!
로킷헬스케어,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로킷헬스케어,연결,영업이익(억원),-138.78,-73.78,-55.72,,,,-47%,-24%,-100%,#DIV/0!,#DIV/0!
로킷헬스케어,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
로킷헬스케어,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
로킷헬스케어,연결,당기순이익(억원),18.57,166.27,-76.9,,,,795%,-146%,-100%,#DIV/0!,#DIV/0!
로킷헬스케어,연결,  전년동기대비(%),흑전,795.37,적전,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
로킷헬스케어,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
롯데관광개발,연결,매출액(억원),"1,836.71","3,135.48","4,714.68","5,856","6,681","7,251",71%,50%,24%,14%,9%
롯데관광개발,연결,  전년동기대비(%),71.54,70.71,50.37,24.21,14.09,8.52,-1%,-29%,-52%,-42%,-40%
롯데관광개발,연결,  컨센서스대비(%),-11.17,-2.87,-2.11,-,-,-,-74%,-26%,#VALUE!,#VALUE!,#VALUE!
롯데관광개발,연결,영업이익(억원),"-1,187.20",-606.06,390.07,916,"1,310","1,578",-49%,-164%,135%,43%,20%
롯데관광개발,연결,  전년동기대비(%),적지,적지,흑전,134.75,43.11,20.38,#VALUE!,#VALUE!,#VALUE!,-68%,-53%
롯데관광개발,연결,  컨센서스대비(%),적지,적지,-21.91,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
롯데관광개발,연결,당기순이익(억원),"-2,247.08","-2,023.31","-1,165.73",-385,115,528,-10%,-42%,-67%,-130%,359%
롯데관광개발,연결,  전년동기대비(%),적지,적지,적지,적지,흑전,360.3,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
롯데관광개발,연결,  컨센서스대비(%),적지,적지,적지,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
롯데글로벌로지스,연결,매출액(억원),"39,983.09","36,141.45","35,733.34",,,,-10%,-1%,-100%,#DIV/0!,#DIV/0!
롯데글로벌로지스,연결,  전년동기대비(%),21.81,-9.61,-1.13,,,,-144%,-88%,-100%,#DIV/0!,#DIV/0!
롯데글로벌로지스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
롯데글로벌로지스,연결,영업이익(억원),626.04,639.22,902.06,,,,2%,41%,-100%,#DIV/0!,#DIV/0!
